Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS,,,,,,,,,,,,,,
113,5209866918,AThrougHZ,347,172,G Hideki Matsuyama G Ben Griffin G Davis Thompson G Mac Meissner G Blades Brown G Beau Hossler,,Jimmy Stanger,G,0.06%,4,,,,,,,,,,,,,,
113,5207227658,GoLow4Dough,340,172,G Jackson Koivun G Tom Kim G Davis Thompson G Blades Brown G J.T. Poston G Beau Hossler,,Chad Ramey,G,0.06%,17.5,,,,,,,,,,,,,,
113,5209168025,mikej52005,324,172,G Tom Kim G Aaron Rai G Alex Fitzpatrick G Davis Thompson G Ben Kohles G Zac Blair,,Luke List,G,0.06%,10.5,,,,,,,,,,,,,,
117,5208982877,BrooksyGoingLow,339,171.5,G Tom Kim G Aaron Rai G Alex Fitzpatrick G Brian Harman G Jordan L. Smith G Benjamin James,,Trace Crowe,G,0.06%,4.5,,,,,,,,,,,,,,
117,5209640605,kellver,339,171.5,G Cameron Young G Justin Thomas G Doug Ghim G Rasmus Højgaard G Jordan L. Smith G Emiliano Grillo,,Adrien Saddier,G,0.03%,19,,,,,,,,,,,,,,
117,5209169907,dfrieler,336,171.5,G Cameron Young G Tom Kim G Doug Ghim G Sungjae Im G Jordan L. Smith G Ryo Hisatsune,,Pontus Nyholm,G,0.03%,16.5,,,,,,,,,,,,,,
120,5208065681,acutshall52684,336,171,G Ryan Gerard G Tom Kim G Davis Thompson G Brian Harman G Jordan L. Smith G Bud Cauley,,Cameron Davis,G,0.03%,8.5,,,,,,,,,,,,,,
120,5207896406,JWinter94,335,171,G Justin Thomas G Ben Griffin G Alex Fitzpatrick G Doug Ghim G Sungjae Im G Jackson Suber,,Lorenzo Rodriguez,G,0.03%,2.5,,,,,,,,,,,,,,
122,5207487097,ForearmShiver-17,359,170.5,G Hideki Matsuyama G Ben Griffin G Michael Brennan G Alex Smalley G Benjamin James G Sahith Theegala,,Stefano Mazzoli,G,0.03%,19.5,,,,,,,,,,,,,,
122,5208793149,Kcjhawk3,352,170.5,G Cameron Young G Hideki Matsuyama G Doug Ghim G Alex Smalley G Max Greyserman G Sahith Theegala,,Taylor Moore,G,0.03%,0,,,,,,,,,,,,,,
122,5207300122,Chvck8686,335,170.5,G Ben Griffin G Aaron Rai G Davis Thompson G Mac Meissner G Doug Ghim G Ben Kohles,,David Skinns,G,0.03%,16,,,,,,,,,,,,,,
122,5209364383,carmen23ny,324,170.5,G Tom Kim G Alex Fitzpatrick G Davis Thompson G Mac Meissner G Ben Kohles G Luke Clanton,,Lanto Griffin,G,0.03%,13,,,,,,,,,,,,,,
126,5207409766,The_Finaglers_1,349,170,G Hideki Matsuyama G Tom Kim G Davis Thompson G Blades Brown G Ben Kohles G Benjamin James,,Takumi Kanaya,G,0.03%,14.5,,,,,,,,,,,,,,
126,5208239711,nawlinsaaints,349,170,G Hideki Matsuyama G Tom Kim G Davis Thompson G Blades Brown G Ben Kohles G Benjamin James,,Alejandro Tosti,G,0.03%,6.5,,,,,,,,,,,,,,
126,5209822425,Nix2912,341,170,G Jackson Koivun G Hideki Matsuyama G Davis Thompson G Jordan L. Smith G Michael Kim G Denny McCarthy,,Danny Walker,G,0.03%,11.5,,,,,,,,,,,,,,
126,5208267884,ox2111,338,170,G Hideki Matsuyama G Aaron Rai G Brooks Koepka G Davis Thompson G Emiliano Grillo G Denny McCarthy,,Hao-Tong Li,G,0.03%,7,,,,,,,,,,,,,,
130,5207309217,BigJ816,340,169.5,G Ryan Gerard G Michael Brennan G Davis Thompson G Brian Harman G Doug Ghim G Ben Kohles,,John VanDerLaan,G,0.03%,19.5,,,,,,,,,,,,,,
