Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
2304,5194944233,brypla86,324,140.5,G Maverick McNealy G Jake Knapp G Jackson Suber G Michael Brennan G A.J. Ewart G Austin Eckroat,,,,,
2304,5194990808,Jherman86,324,140.5,G Scottie Scheffler G William Mouw G Lucas Glover G Matt Kuchar G Zac Blair G Aaron Wise,,,,,
2304,5195057690,lougehrig4,324,140.5,G Tom Kim G Jackson Suber G Gary Woodland G Max Homa G Stephan Jaeger G Andrew Putnam,,,,,
2304,5195355970,greenbayfan74,324,140.5,G Scottie Scheffler G Max Greyserman G Rasmus Neergaard-Petersen G Garrick Higgo G Luke List G Adam Svensson,,,,,
2304,5195427538,jasonetate,324,140.5,G Tom Kim G Corey Conners G Sam Stevens G Jordan L. Smith G Taylor Pendrith G Emiliano Grillo,,,,,
2304,5195569418,VikesFan8028,324,140.5,G Kurt Kitayama G Jordan L. Smith G Rasmus Højgaard G Taylor Pendrith G Emiliano Grillo G Aaron Wise,,,,,
2304,5195587376,WendalsBlues,324,140.5,G Hideki Matsuyama G Jake Knapp G Jackson Koivun G Benjamin James G Patrick Fishburn G Neal Shipley,,,,,
2304,5195613881,DMB19,324,140.5,G Hideki Matsuyama G Jackson Suber G Max Homa G Michael Brennan G Davis Thompson G Brian Harman,,,,,
2304,5195649633,ghill20,324,140.5,G Scottie Scheffler G Hao-Tong Li G Zachary Bauchou G A.J. Ewart G Zac Blair G Austin Eckroat,,,,,
2304,5195677231,rotomaven10,324,140.5,G Scottie Scheffler G Michael Brennan G Aldrich Potgieter G Austin Eckroat G Cameron Champ G Nick Hardy,,,,,
2304,5195763442,All_natural02,324,140.5,G Kurt Kitayama G Keith Mitchell G Benjamin James G Johnny Keefer G William Mouw G Emiliano Grillo,,,,,
2304,5195824624,Human_Tripod,324,140.5,G Keith Mitchell G Tom Kim G Sungjae Im G Benjamin James G Keita Nakajima G Lucas Glover,,,,,
2304,5195881761,jcate50,324,140.5,G Keith Mitchell G Gary Woodland G Max Homa G Sam Stevens G Brian Harman G Zachary Bauchou,,,,,
2304,5195907529,teamkelly22,324,140.5,G Kurt Kitayama G Hideki Matsuyama G Sungjae Im G Taylor Pendrith G Jesper Svensson G Tom Hoge,,,,,
2304,5195985770,Baileo,324,140.5,G Doug Ghim G Max Homa G Jordan L. Smith G Mac Meissner G Benjamin James G Ben Kohles,,,,,
2304,5196105950,Jasoncash55,324,140.5,G Maverick McNealy G Kurt Kitayama G Max Homa G Max Greyserman G Lucas Glover G Tom Hoge,,,,,
2304,5196188076,Allshooters,324,140.5,G Scottie Scheffler G Hideki Matsuyama G Zac Blair G Fabián Gómez G Troy Merritt G Brannon Fahrny,,,,,
