HOLE-BY-HOLE DETAIL,,,,,,,,,
"Event: TOUR Championship (401811964) | Success: 30 | Failed: 0 | Updated: 8/31/2026, 6:13:47 AM",,,,,,,,,
,,,,,,,,,
Player,Player ID,Round,Hole,Par,Strokes,Score Type,To Par,Round Score,Round To Par
Robert MacIntyre,11378,3,1,4,4,Par,E,63,-7
Robert MacIntyre,11378,3,2,3,3,Par,E,63,-7
Robert MacIntyre,11378,3,3,4,4,Par,E,63,-7
Robert MacIntyre,11378,3,4,4,4,Par,E,63,-7
Robert MacIntyre,11378,3,5,4,4,Par,E,63,-7
Robert MacIntyre,11378,3,6,5,4,Birdie,-1,63,-7
Robert MacIntyre,11378,3,7,4,4,Par,E,63,-7
Robert MacIntyre,11378,3,8,4,2,Eagle,-2,63,-7
Robert MacIntyre,11378,3,9,3,3,Par,E,63,-7
Robert MacIntyre,11378,3,10,4,3,Birdie,-1,63,-7
Robert MacIntyre,11378,3,11,3,4,Bogey,+1,63,-7
Robert MacIntyre,11378,3,12,4,3,Birdie,-1,63,-7
Robert MacIntyre,11378,3,13,4,4,Par,E,63,-7
Robert MacIntyre,11378,3,14,4,4,Par,E,63,-7
Robert MacIntyre,11378,3,15,3,2,Birdie,-1,63,-7
Robert MacIntyre,11378,3,16,4,4,Par,E,63,-7
Robert MacIntyre,11378,3,17,4,3,Birdie,-1,63,-7
Robert MacIntyre,11378,3,18,5,4,Birdie,-1,63,-7
Robert MacIntyre,11378,4,1,4,5,Bogey,+1,74,+4
Robert MacIntyre,11378,4,2,3,3,Par,E,74,+4
Robert MacIntyre,11378,4,3,4,4,Par,E,74,+4
Robert MacIntyre,11378,4,4,4,4,Par,E,74,+4
Robert MacIntyre,11378,4,5,4,5,Bogey,+1,74,+4
Robert MacIntyre,11378,4,6,5,4,Birdie,-1,74,+4
Robert MacIntyre,11378,4,7,4,4,Par,E,74,+4
Robert MacIntyre,11378,4,8,4,4,Par,E,74,+4
Robert MacIntyre,11378,4,9,3,3,Par,E,74,+4
Robert MacIntyre,11378,4,10,4,4,Par,E,74,+4
Robert MacIntyre,11378,4,11,3,3,Par,E,74,+4
